speaker,start,end,text
Sindhu,0.0,6.0,"Hi, welcome to Amazon customer support. This is Sindhu. How can I assist you today?"
Hemanth,6.0,12.0,"Hi, I just received my iPhone 16 Pro and there is no charger in the box. What's going on?"
Sindhu,12.0,20.0,I'm really sorry to hear that son. Let me check this for you. Can I quickly verify some details before we proceed?
Hemanth,20.0,21.0,"Sure, go ahead."
Sindhu,21.0,22.0,Order ID?
Hemanth,22.0,24.0,Apple 911xpro
Sindhu,24.0,25.0,Name?
Hemanth,25.0,26.0,Heyman
Sindhu,26.0,27.0,Email?
Hemanth,27.0,29.0,"Heyman, Edred of gman.com"
Sindhu,29.0,30.0,What's your phone number?
Hemanth,30.0,35.0,9876501234
Sindhu,35.0,36.0,Address?
Hemanth,36.0,39.0,"Hashtag 32 Green Hills Road, Bangalore"
Sindhu,39.0,40.0,Order
Hemanth,40.0,45.0,"iPhone 16 Pro, 256GB, LACS"
Sindhu,45.0,52.0,"Hi, I'm Heyman. Just to confirm, you received the phone and the USB-C cable. There is no charger and adapter in this case, right?"
Hemanth,52.0,58.0,"Yes, exactly. Just the cable only. And honestly, this is unbelievable."
Hemanth,58.0,65.0,I didn't get a charger for a 1.3 lakh phone. This is not acceptable.
Sindhu,65.0,79.0,"I completely understand your frustration, Heyman. I would feel the same in your place. To explain, Apple stopped including the charger in the box from the iPhone 12 series. It's part of the environmental commitment to reduce key waste."
Hemanth,79.0,96.0,"Yeah, I heard that. But honestly, it just sounds like an excuse to save money. This is my first phone. And now I have to go buy something separately just to turn on it. Very disappointing."
Sindhu,96.0,109.0,"I hear you. And you're absolutely right to feel this way. Apple assumes most users already have compatible chargers. But that doesn't help when you're new to the ecosystem. It's frustrating, no doubt."
Hemanth,109.0,117.0,"Exactly. I'm accepting a premium experience, not this. I feel I would be misleaded."
Sindhu,117.0,133.0,"I truly understand. And I'm sorry your first Apple experience didn't start off the way it should have. Unfortunately, Apple doesn't allow us to send the adapter separately unless it's ordered as an accessory. But I'll absolutely share your feedback with the customer team."
Hemanth,133.0,145.0,That's not really helpful right now. I still have to spend more to just to charge up the phone. I already paid so much for.
Sindhu,145.0,154.0,"You're right. And I genuinely wish I could change that for you. If you would like, I can help you find the official charger on the resort just to make sure you get the right one."
Hemanth,154.0,163.0,"No, it is okay. I will figure out. But I am seriously not recommending Apple to anyone for this. After this."
Hemanth,163.0,171.0,"I understand, Hemant. And I truly regret that your experience turned out this way. We're always here to need help with any of your needs."
Hemanth,171.0,173.0,Alright. Thanks. Bye.
Sindhu,173.0,177.0,"Take care, Hemant. And again, I'm really sorry for the interruption today."
